[0922/012946.078:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0922/014849.830:ERROR:dns_config_service_win.cc(754)] DNS config watch failed.
[0922/085733.413:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/085735.307:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/085735.419:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/130540.011:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/130541.174:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/130559.085:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/134015.391:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/134016.015:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/134016.258:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/134016.770:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/180303.059:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/180308.064:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/180313.069:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184133.509:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184134.974:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184135.874:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184136.358:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184136.367:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184136.598:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184137.628:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184137.696:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184138.693:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184138.832:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184139.029:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184140.048:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184140.322:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184140.958:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184141.411:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184141.719:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184142.083:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184142.192:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184142.659:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184142.723:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184143.701:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184143.842:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184144.048:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184145.069:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184145.335:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184145.970:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184146.419:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184146.725:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184146.831:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184146.842:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184147.091:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184147.201:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184147.670:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184147.733:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184148.105:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184148.705:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184148.851:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184149.063:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/184150.080:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
